Property Address	Parcel Number	Inspection Date	Grade	License Status	Expiration Date	Mappable Address
703 East Washington Street	922116301002.00	7/29/2015	Class B	Issued		"703 East Washington Street
Urbana, IL
(-88.1998, 40.1054)"
508 Urbana Avenue	922117277004.00	11/9/2009	Class B	Issued		"508 Urbana Avenue
Urbana, IL
(-88.2034, 40.1086)"
401 East Green Street	922117239001.00	7/31/2007	Class B	Issued	10/14/2021	"401 East Green Street
Urbana, IL
(-88.2035, 40.1106)"
910 South Lierman Avenue Unit D	922116402046.00	7/21/2014	Class B	Issued	10/14/2022	"910 South Lierman Avenue
Unit D Urbana, IL
(-88.1887, 40.1056)"
1905 East Florida Avenue Unit A	922116481051.00	1/16/2015	Class B	Issued		"1905 East Florida Avenue
Unit A Urbana, IL
(-88.1856, 40.0983)"
1210 Ellis Drive	912107208024.00	10/28/2011	Class B	Issued	10/14/2022	"1210 Ellis Drive
Urbana, IL
(-88.2253, 40.1243)"
602 South Broadway Avenue	922117257001.00	4/13/2007	Class B	Expired	10/14/2019	"602 South Broadway Avenue
Urbana, IL
(-88.207, 40.1083)"
502 West Main Street	912108378004.00	10/14/2021	Class C	Issued	10/14/2022	"502 West Main Street
Urbana, IL
(40.1140594482, -88.2132110596)"
503 Oakland Avenue	912108278002.00	11/4/2010	Class B	Issued		"503 Oakland Avenue
Urbana, IL
(-88.2022, 40.1236)"
1207 Anderson Street	932117430010.00	1/12/2010	Class B	Issued		"1207 Anderson Street
Urbana, IL
(-88.2004, 40.1025)"
1102 Church Street	912107427020.00	12/2/2011	Class B	Issued		"1102 Church Street
Urbana, IL
(-88.222, 40.1185)"
508 South Cottage Grove Avenue	922116176004.00	12/7/2012	Class B	Issued	10/14/2022	"508 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1087)"
1104 Wabash Avenue	922116304015.00	3/4/2016	Class A	Issued		"1104 Wabash Avenue
Urbana, IL
(-88.1964, 40.1036)"
1902 East Amber Lane	932121401028.00	12/14/2017	Class B	Issued	10/14/2022	"1902 East Amber Lane
Urbana, IL
(40.0882225037, -88.1835098267)"
102 North Gregory Street	932118227007.00	4/23/2009	Class B	Issued		"102 North Gregory Street
Urbana, IL
(-88.22, 40.1123)"
310 South Lynn Street	922116111008.00	3/21/2012	Class B	Expired	10/14/2022	"310 South Lynn Street
Urbana, IL
(-88.1976, 40.1101)"
113 Dodson Drive	912115126012.00	3/26/2015	Class B	Expired	10/14/2022	"113 Dodson Drive
Urbana, IL
(-88.1761, 40.1118)"
1505 Wiley Drive	922116352009.00	5/2/2016	Class B	Issued	10/14/2021	"1505 Wiley Drive
Urbana, IL
(-88.1981, 40.0994)"
1003 Clark Street	912107481005.00	3/23/2009	Class B	Issued	10/14/2022	"1003 Clark Street
Urbana, IL
(-88.2212, 40.1152)"
701 East Park Street	912109303014.00	8/26/2021	Class A	Issued	10/14/2022	"701 East Park Street
Urbana, IL
(40.116955, -88.20037)"
2209 South Philo Road	932121332018.00	3/9/2017	Class B	Issued	10/14/2022	"2209 South Philo Road
Urbana, IL
(40.08902, -88.19096)"
203 North Gregory Street	912107482022.00	3/23/2009	Class B	Issued		"203 North Gregory Street
Urbana, IL
(-88.2209, 40.1138)"
310 West High Street	922117137008.00	4/14/2009	Class B	Expired		"310 West High Street
Urbana, IL
(-88.2114, 40.11)"
1905 East Summit Drive	932128229003.00	12/4/2017	Class B	Issued	10/14/2022	"1905 East Summit Drive
Urbana, IL
(40.08307, -88.18312)"
401 North Race Street	912108451013.00	8/5/2010	Class B	Issued	10/14/2022	"401 North Race Street
Urbana, IL
(-88.2094, 40.1155)"
501 East Illinois Street	922117278001.00	7/15/2021	Class B	Issued	10/14/2022	"501 East Illinois Street
Urbana, IL
(40.109055, -88.20231)"
1006 East Washington Street	922116165019.00	7/12/2012	Class B	Issued	10/14/2021	"1006 East Washington Street
Urbana, IL
(-88.1961, 40.1059)"
712 West Illinois Street	922117108003.00	11/16/2012	Class A	Issued	10/14/2022	"712 West Illinois Street
Urbana, IL
(-88.2174, 40.1093)"
1010 Clark Street	912107480015.00	3/30/2009	Class B	Issued	10/14/2022	"1010 Clark Street
Urbana, IL
(-88.2217, 40.1157)"
707 North Orchard Street	912108308017.00	4/9/2014	Class B	Issued		"707 North Orchard Street
Urbana, IL
(-88.2148, 40.119)"
605 South Race Street	922117255007.00	7/8/2019	Class B	Expired	10/14/2019	"605 South Race Street
Urbana, IL
(40.107887, -88.20913)"
709 South Walnut Street	922117263019.00	11/12/2009	Class B	Expired	10/14/2022	"709 South Walnut Street
Urbana, IL
(-88.2065, 40.1068)"
603 West Green Street	922117112004.00	9/4/2013	Class B	Issued	10/14/2022	"603 West Green Street
Urbana, IL
(-88.2149, 40.1104)"
302 Grove Street	922117241001.00	3/11/2010	Class B	Expired	10/14/2022	"302 Grove Street
Urbana, IL
(-88.201, 40.1107)"
709 West California Avenue	922117156003.00	12/10/2007	Class B	Issued	10/14/2022	"709 West California Avenue
Urbana, IL
(-88.2169, 40.1081)"
1009 East Michigan Avenue	922116351022.00	3/17/2016	Class B	Issued	10/14/2022	"1009 East Michigan Avenue
Urbana, IL
(-88.1959, 40.1014)"
1618 Ivanhoe Way	922116404029.00	7/31/2014	Class B	Issued	10/14/2021	"1618 Ivanhoe Way
Urbana, IL
(-88.187, 40.1014)"
802 East Kerr Avenue	912109103008.00	12/27/2017	Class B	Issued	10/14/2022	"802 East Kerr Avenue
Urbana, IL
(40.1227111816, -88.1984939575)"
211 West Illinois Street	922117186002.00	9/6/2019	Class C	Issued	10/14/2022	"211 West Illinois Street
Urbana, IL
(40.10895, -88.20998)"
1201 North Berkley Avenue	912108205011.00	11/10/2021	Class A	Issued	10/14/2022	"1201 North Berkley Avenue
Urbana, IL
(40.1239852905, -88.2068481445)"
709 West Green Street	922117107018.00	11/5/2012	Class B	Issued	10/14/2022	"709 West Green Street
Urbana, IL
(-88.217, 40.1104)"
706 West Green Street	922117106018.00	7/26/2007	Class B	Issued	10/14/2022	"706 West Green Street
Urbana, IL
(-88.2167, 40.1109)"
1004 North Highlands Drive	912108277006.00	11/18/2021	Class B	Issued	10/14/2022	"1004 North Highlands Drive
Urbana, IL
(40.12241745, -88.2040939331)"
1709 Willow Court	912105477030.00	7/27/2010	Class B	Issued	10/14/2022	"1709 Willow Court
Urbana, IL
(-88.2013, 40.1292)"
1107 East Main Street	922116126006.00	6/29/2012	Class A	Issued	10/14/2022	"1107 East Main Street
Urbana, IL
(-88.1952, 40.1127)"
603 South Lynn Street	922116157005.00	12/19/2012	Class B	Issued	10/14/2022	"603 South Lynn Street
Urbana, IL
(-88.1981, 40.1082)"
104 Grove Street	922117232004.00	5/19/2009	Class B	Issued	10/14/2022	"104 Grove Street
Urbana, IL
(-88.2011, 40.1124)"
203 West Park Street	912108402003.00	1/13/2011	Class B	Expired		"203 West Park Street
Urbana, IL
(-88.2095, 40.1173)"
706 West Oregon Street	922117156012.00	8/16/2018	Class C	Issued	10/14/2022	"706 West Oregon Street
Urbana, IL
(40.107697, -88.21676)"
1005 East Harding Drive	932121153011.00	7/8/2013	Class B	Issued	10/14/2022	"1005 East Harding Drive
Urbana, IL
(-88.1954, 40.0934)"
305 Grove Street	922117240008.00	7/21/2010	Class B	Issued	10/14/2022	"305 Grove Street
Urbana, IL
(-88.2017, 40.1103)"
1803 Pleasant Street	932120202005.00	7/26/2016	Class B	Issued		"1803 Pleasant Street
Urbana, IL
(-88.2069, 40.0963)"
2310 East Michigan Avenue	912115307008.00	3/3/2015	Class A	Issued	10/14/2022	"2310 East Michigan Avenue
Urbana, IL
(-88.1768, 40.1021)"
1004 Springfield Avenue	912107483013.00	2/3/2009	Class B	Issued	10/14/2022	"1004 Springfield Avenue
Urbana, IL
(-88.2211, 40.113)"
406 East Iowa Street	932117426020.00	2/23/2010	Class B	Expired	10/14/2022	"406 East Iowa Street
Urbana, IL
(-88.2032, 40.105)"
2604 A South Anderson Street	932121357007.00	3/28/2017	Class B	Issued	10/14/2022	"2604 A South Anderson Street
Urbana, IL
(40.0840110779, -88.1990814209)"
712 West Green Street	922117106010.00	7/16/2012	Class B	Issued		"712 West Green Street
Urbana, IL
(-88.2173, 40.1109)"
1107 East Florida Avenue	932121126002.00	11/15/2017	Class B	Issued	10/14/2022	"1107 East Florida Avenue
Urbana, IL
(40.097797, -88.194)"
113 West McHenry Street	932120451001.00	6/26/2016	Class B	Issued	10/14/2022	"113 West McHenry Street
Urbana, IL
(-88.2089, 40.0869)"
707 Sunny Lane	912115180025.00	3/26/2015	Class A	Issued	10/14/2022	"707 Sunny Lane
Urbana, IL
(-88.1729, 40.1065)"
800 South Vine Street	922117284041.00	1/29/2020	Class B	Issued	10/14/2022	"800 South Vine Street
Urbana, IL
(-88.204573905, 40.106474873)"
802 Sunny Lane	912115181012.00	3/26/2015	Class B	Issued	10/14/2022	"802 Sunny Lane
Urbana, IL
(-88.1722, 40.1064)"
206 South Cottage Grove Avenue	922116126014.00	5/11/2012	Class B	Expired		"206 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1116)"
1732 East Florida Avenue	922116456014.00	5/4/2013	Class B	Issued		"1732 East Florida Avenue
Urbana, IL
(-88.1851, 40.0986)"
1204 East McHenry Street	932121330014.00	3/8/2017	Class B	Issued	10/14/2022	"1204 East McHenry Street
Urbana, IL
(40.088062, -88.19309)"
410 West High Street	922117133007.00	4/30/2013	Class B	Issued	10/14/2022	"410 West High Street
Urbana, IL
(-88.2128, 40.1101)"
1111 Austin Drive	922116403007.00	7/22/2014	Class C	Expired		"1111 Austin Drive
Urbana, IL
(-88.1878, 40.1028)"
503 Sunny Lane	912115180034.00	3/26/2015	Class A	Issued	10/14/2021	"503 Sunny Lane
Urbana, IL
(-88.1729, 40.1081)"
1301 Mitchem Drive	932121181008.00	2/13/2013	Class B	Issued		"1301 Mitchem Drive
Urbana, IL
(-88.1928, 40.092)"
607 South Cottage Grove Avenue	922116160007.00	7/1/2015	Class B	Issued	10/14/2022	"607 South Cottage Grove Avenue
Urbana, IL
(-88.196, 40.108)"
206 Hartle Avenue	922116129008.00	6/30/2009	Class B	Issued		"206 Hartle Avenue
Urbana, IL
(-88.1919, 40.1115)"
1402 Laurel Drive	922116377010.00	2/15/2016	Class B	Expired	10/14/2022	"1402 Laurel Drive
Urbana, IL
(-88.1916, 40.101)"
908 East Washington Street	922116163029.00	7/15/2015	Class B	Issued	10/14/2022	"908 East Washington Street
Urbana, IL
(-88.1971, 40.1058)"
1704 James Cherry Drive	922116456022.00	5/6/2013	Class B	Issued	10/14/2022	"1704 James Cherry Drive
Urbana, IL
(-88.1859, 40.0994)"
711 West Washington Street	932117305003.00	12/5/2007	Class B	Issued	10/14/2022	"711 West Washington Street
Urbana, IL
(-88.2171, 40.1053)"
1215 Beslin Street	912107410001.00	7/14/2011	Class B	Issued	10/14/2022	"1215 Beslin Street
Urbana, IL
(-88.2241, 40.1203)"
706 South Coler Avenue	922117161011.00	3/31/2008	Class B	Issued		"706 South Coler Avenue
Urbana, IL
(-88.2158, 40.1068)"
113 North Poplar Street	912109377009.00	8/27/2009	Class C	Expired	10/14/2022	"113 North Poplar Street
Urbana, IL
(-88.195, 40.1141)"
804 West Illinois Street	922117103013.00	1/16/2013	Class B	Expired	10/14/2022	"804 West Illinois Street
Urbana, IL
(-88.2183, 40.1095)"
711 West Green Street	922117107003.00	7/18/2018	Class C	Issued	10/14/2022	"711 West Green Street
Urbana, IL
(40.110363, -88.21728)"
907 East Main Street	922116104004.00	6/18/2009	Class B	Issued		"907 East Main Street
Urbana, IL
(-88.1971, 40.1126)"
203 South Coler Avenue	922117106008.00	7/11/2018	Class B	Issued	10/14/2022	"203 South Coler Avenue
Urbana, IL
(40.111073, -88.216385)"
708 South Lynn Street	922116163007.00	6/6/2012	Class B	Issued	10/14/2022	"708 South Lynn Street
Urbana, IL
(-88.1977, 40.1072)"
108 West Vermont Avenue	932117452016.00	1/6/2020	Class B	Issued	10/14/2022	"108 West Vermont Avenue
Urbana, IL
(40.100136, -88.2082)"
604 Stoughton Street	912108363025.00	5/14/2008	Class B	Issued	10/14/2022	"604 Stoughton Street
Urbana, IL
(-88.215, 40.1132)"
402 West California Avenue	922117178015.00	3/20/2008	Class B	Issued	10/14/2022	"402 West California Avenue
Urbana, IL
(-88.2119, 40.1085)"
506 East Harding Drive	932120280013.00	8/24/2016	Class B	Issued	10/14/2022	"506 East Harding Drive
Urbana, IL
(-88.2017, 40.0941)"
703 South Broadway Avenue	922117261019.00	9/23/2021	Class B	Issued	10/14/2022	"703 South Broadway Avenue
Urbana, IL
(40.107323, -88.20766)"
1002 East Harding Drive Unit 101	932121152016.00	4/28/2017	Class A	Issued	10/14/2022	"1002 East Harding Drive
Urbana, IL
(40.093987, -88.195915)"
1601 Willow Road	912105477028.00	10/19/2007	Class B	Issued		"1601 Willow Road
Urbana, IL
(-88.201, 40.1276)"
403 South Poplar Street	922116130017.00	6/26/2012	Class B	Issued		"403 South Poplar Street
Urbana, IL
(-88.1949, 40.1098)"
804 North Coler Avenue	912108308003.00	3/20/2014	Class C	Issued	10/14/2022	"804 North Coler Avenue
Urbana, IL
(-88.2154, 40.1196)"
1301 East Brighton Drive	932121179018.00	3/20/2017	Class B	Issued	10/14/2022	"1301 East Brighton Drive
Urbana, IL
(40.092823, -88.19264)"
203 West Oregon Street	922117259003.00	10/29/2019	Class B	Issued	10/14/2022	"203 West Oregon Street
Urbana, IL
(40.107307, -88.20922)"
308 East Oregon Street	922117280010.00	3/4/2020	Class B	Issued	10/14/2022	"308 East Oregon Street
Urbana, IL
(40.1078109741, -88.2038803101)"
1303 North Division Avenue	912108204011.00	11/12/2021	Class B	Issued	10/14/2022	"1303 North Division Avenue
Urbana, IL
(40.1250953674, -88.205696106)"
2014 Vawter Street	932121180007.00	2/11/2013	Class B	Issued		"2014 Vawter Street
Urbana, IL
(-88.1915, 40.092)"
2508 East Florida Avenue	912115387004.00	6/14/2018	Class B	Temporarily Not a Rental	10/14/2021	"2508 East Florida Avenue
Urbana, IL
(40.09875, -88.17416)"
802 West Iowa Street	932117301012.00	7/30/2008	Class B	Issued	10/14/2021	"802 West Iowa Street
Urbana, IL
(-88.218, 40.1048)"
505 South Busey Avenue	922117151008.00	9/11/2018	Class B	Issued	10/14/2022	"505 South Busey Avenue
Urbana, IL
(40.108669281, -88.2179794312)"
429 East Fairlawn Drive	932117428166.00	1/29/2020	Class A	Issued	10/14/2022	"429 East Fairlawn Drive
Urbana, IL
(40.1033096313, -88.2029266357)"
606 West Elm Street	922117110005.00	6/12/2013	Class B	Issued	10/14/2022	"606 West Elm Street
Urbana, IL
(-88.2155, 40.1119)"
904 North Broadway Avenue Unit 205	912108257054.00	2/4/2008	Class B	Issued	10/14/2022	"904 North Broadway Avenue
Urbana, IL
(-88.2076, 40.1206)"
511 West Green Street	922117128001.00	2/6/2019	Class B	Issued	10/14/2022	"511 West Green Street
Urbana, IL
(40.110408783, -88.2143630981)"
408 West Green Street	922117132011.00	3/27/2008	Class B	Expired	10/14/2022	"408 West Green Street
Urbana, IL
(-88.2126, 40.1109)"
102 East Stebbins Drive	912108257124.00	12/20/2019	Class A	Issued	10/14/2022	"102 East Stebbins Drive
Urbana, IL
(40.1199417114, -88.205909729)"
2208 South Wyld Drive	932120433005.00	4/27/2017	Class B	Issued	10/14/2022	"2208 South Wyld Drive
Urbana, IL
(40.08802, -88.202484)"
805 North Orchard Street	912108308013.00	4/9/2014	Class B	Issued		"805 North Orchard Street
Urbana, IL
(-88.2148, 40.1196)"
710 West Nevada Street	922117157010.00	2/7/2019	Class B	Issued	10/14/2022	"710 West Nevada Street
Urbana, IL
(40.1067886353, -88.2170410156)"
605 South Poplar Street	922116176016.00	12/7/2012	Class B	Issued		"605 South Poplar Street
Urbana, IL
(-88.1948, 40.1082)"
709 Western Avenue	922117105002.00	8/14/2007	Class B	Issued	10/14/2021	"709 Western Avenue
Urbana, IL
(-88.2171, 40.112)"
3026 East Stillwater Landing Unit 101	932122406009.00	12/18/2017	Class B	Issued	10/14/2022	"3026 East Stillwater Landing
Urbana, IL
(40.090282, -88.16565)"
312 Springfield Avenue	922117130014.00	7/5/2007	Class B	Issued	10/14/2022	"312 Springfield Avenue
Urbana, IL
(-88.2117, 40.1126)"
107 West California Avenue	922117256019.00	5/16/2019	Class C	Issued	10/14/2022	"107 West California Avenue
Urbana, IL
(40.1081504822, -88.2081832886)"
1105 East Pennsylvania Avenue	922116380005.00	2/15/2016	Class B	Issued	10/14/2022	"1105 East Pennsylvania Avenue
Urbana, IL
(-88.1949, 40.0998)"
502 West Green Street Unit 202	922117127024.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1108360291, -88.2134857178)"
201 West Oregon Street	922117259007.00	3/25/2009	Class A	Issued	10/14/2022	"201 West Oregon Street
Urbana, IL
(-88.209, 40.1074)"
803 East Harding Drive	932121153004.00	7/9/2013	Class A	Expired		"803 East Harding Drive
Urbana, IL
(-88.1973, 40.0936)"
502 West Green Street Unit 311	922117127046.00	2/28/2019	Class B	Issued	10/14/2022	"502 West Green Street
Urbana, IL
(40.1112937927, -88.2136077881)"
306 West California Avenue	922117182010.00	7/7/2009	Class B	Expired		"306 West California Avenue
Urbana, IL
(-88.2109, 40.1086)"
611 West Green Street	922117112001.00	5/28/2013	Class B	Issued	10/14/2021	"611 West Green Street
Urbana, IL
(-88.2158, 40.1104)"
112 West Vermont Avenue	932117452014.00	11/27/2019	Class B	Issued	10/14/2022	"112 West Vermont Avenue
Urbana, IL
(40.100132, -88.2086)"
814 West Main Street	912108353013.00	10/19/2010	Class B	Issued	10/14/2022	"814 West Main Street
Urbana, IL
(-88.2189, 40.1148)"
802 West Main Street	912108353020.00	10/18/2010	Class B	Expired		"802 West Main Street
Urbana, IL
(-88.2176, 40.1147)"
706 East Main Street	912109352012.00	6/11/2015	Class C	Issued	10/14/2022	"706 East Main Street
Urbana, IL
(-88.1996, 40.1132)"
406 West Oregon Street	922117179017.00	4/30/2013	Class B	Issued		"406 West Oregon Street
Urbana, IL
(-88.2123, 40.1078)"
1703 Willow Court	912105477033.00	7/13/2010	Class A	Issued	10/14/2021	"1703 Willow Court
Urbana, IL
(-88.2012, 40.1287)"
1001 East Michigan Avenue	922116351018.00	3/8/2016	Class B	Issued	10/14/2022	"1001 East Michigan Avenue
Urbana, IL
(-88.1967, 40.1014)"
812 West Main Street	912108353014.00	3/24/2011	Class C	Issued	10/14/2022	"812 West Main Street
Urbana, IL
(-88.2187, 40.1148)"
507 West Green Street	922117128003.00	6/4/2013	Class B	Issued		"507 West Green Street
Urbana, IL
(-88.214, 40.1107)"
1009 South Webber Street	922116301026.00	2/11/2016	Class B	Issued	10/14/2022	"1009 South Webber Street
Urbana, IL
(-88.1994, 40.1039)"
1106 Lanore Drive	922116432003.00	1/15/2015	Class B	Issued	10/14/2022	"1106 Lanore Drive
Urbana, IL
(-88.1863, 40.1033)"
1004 South Lierman Avenue Unit B	922116402052.00	7/21/2014	Class B	Issued		"1004 South Lierman Avenue
Unit B Urbana, IL
(-88.1887, 40.1047)"
508 Stoughton Street	912108363018.00	4/29/2008	Class B	Issued	10/14/2022	"508 Stoughton Street
Urbana, IL
(-88.2143, 40.1132)"
403 East Main Street	922117228002.00	9/1/2021	Class B	Issued	10/14/2022	"403 East Main Street
Urbana, IL
(40.1123390198, -88.2033157349)"
2306 Lantern Hill Drive	912115302006.00	3/17/2015	Class B	Issued	10/14/2021	"2306 Lantern Hill Drive
Urbana, IL
(-88.1774, 40.105)"
202 South Cottage Grove Avenue	922116126012.00	5/22/2012	Class B	Issued	10/14/2018	"202 South Cottage Grove Avenue
Urbana, IL
(-88.1954, 40.1119)"
912 South Lierman Avenue Unit A	922116402039.00	7/21/2014	Class B	Issued		"912 South Lierman Avenue
Unit A Urbana, IL
(-88.1887, 40.1056)"
302 West Illinois Street	922117138014.00	7/15/2019	Class B	Temporarily Not a Rental	10/14/2020	"302 West Illinois Street
Urbana, IL
(40.109352, -88.210625)"
2101 South Pond Street	932121306008.00	4/25/2017	Class B	Expired	10/14/2020	"2101 South Pond Street
Urbana, IL
(40.0904426575, -88.1946258545)"
1005 North Highlands Drive	912108276026.00	10/20/2021	Class B	Issued	10/14/2022	"1005 North Highlands Drive
Urbana, IL
(40.12246, -88.204704)"
410 West Green Street	922117132010.00	6/5/2013	Class B	Issued	10/14/2022	"410 West Green Street
Urbana, IL
(-88.2128, 40.1109)"
118 West Vermont Avenue	932117452012.00	12/12/2019	Class B	Expired	10/14/2021	"118 West Vermont Avenue
Urbana, IL
(40.10013, -88.209)"
908 South Cottage Grove Avenue	922116326019.00	2/19/2016	Class B	Issued	10/14/2022	"908 South Cottage Grove Avenue
Urbana, IL
(-88.1953, 40.1048)"
205 South Cottage Grove Avenue	922116104034.00	4/9/2012	Class B	Issued		"205 South Cottage Grove Avenue
Urbana, IL
(-88.1961, 40.1115)"
1204 Fairlawn Drive	922116329019.00	2/23/2016	Class B	Issued	10/14/2022	"1204 Fairlawn Drive
Urbana, IL
(-88.1939, 40.1026)"
407 West Main Street	912108381007.00	8/29/2013	Class B	Issued	10/14/2022	"407 West Main Street
Urbana, IL
(-88.212, 40.113)"
2109 East Country Squire Drive	912115306005.00	3/3/2015	Class B	Issued		"2109 East Country Squire Drive
Urbana, IL
(-88.1802, 40.1023)"
910 East Oregon Street	922116158007.00	7/1/2015	Class B	Issued	10/14/2022	"910 East Oregon Street
Urbana, IL
(-88.197, 40.108)"
2005 East Michigan Avenue	922116476008.00	1/8/2015	Class B	Issued	10/14/2019	"2005 East Michigan Avenue
Urbana, IL
(-88.1832, 40.1015)"
410 West California Avenue	922117178008.00	4/23/2008	Class B	Issued	10/14/2022	"410 West California Avenue
Urbana, IL
(-88.2127, 40.1086)"
2003 East Florida Avenue	922116481044.00	5/22/2018	Class B	Issued	10/14/2022	"2003 East Florida Avenue
Urbana, IL
(40.09857, -88.18225)"
